A1(5%),A2(5%),A3(5%),A4(3%),Assignments(15%),T1(12.5%),T2(12.5%),Tests(25%),CW(40%),Q1(27),Q2(27),Q3(16),Final(70),Scaled Final(60%),Total Score(100%)
0.714285714,1,5,0,7,0,0,0,7,1,20,3,24,21,27
2.244897959,4.4,1,0,8,9.0625,0.757575758,10,17,11,20,16,47,40,58
2.959183673,2.4,0,0,5,10.9375,9.46969697,20,26,27,15,7,49,42,68
3.163265306,2,2.25,0,7,0,1.136363636,1,9,13,20,1,34,29,38
2.142857143,0.8,2.75,0,6,1.25,8.712121212,10,16,13,24,8,45,39,54
4.081632653,3.6,4.5,0,12,8.4375,1.893939394,10,23,7,26,16,49,42,65
4.591836735,1.4,2.5,0,8,7.1875,1.893939394,9,18,8,26,4,38,33,50
3.979591837,0,2.75,0,7,11.25,0.757575758,12,19,2,22,16,40,34,53
0.306122449,0.2,2.75,0,3,0.3125,9.090909091,9,13,10,19,13,42,36,49
0,2.2,4.25,0,6,6.5625,4.166666667,11,17,0,16,12,28,24,41
3.775510204,3.8,3,0,11,5.9375,3.409090909,9,20,27,9,16,52,45,64
2.551020408,5,4.5,0,12,7.8125,4.166666667,12,24,17,20,13,50,43,67
3.673469388,2.2,3.75,0,10,9.0625,11.74242424,21,30,8,10,6,24,21,51
3.163265306,2.4,1.75,0,7,9.0625,4.166666667,13,21,18,8,6,32,27,48
1.734693878,4.8,3,0,10,8.75,6.439393939,15,25,26,27,1,54,46,71
0.816326531,5,4,0,10,8.75,0.378787879,9,19,3,2,8,13,11,30
5,0.4,5,0,10,8.125,11.36363636,19,30,24,0,15,39,33,63
0.714285714,1.2,2,0,4,7.1875,9.090909091,16,20,15,11,5,31,27,47
4.591836735,4.2,2.5,0,11,8.75,2.272727273,11,22,0,22,3,25,21,44
1.428571429,5,2.75,0,9,9.0625,3.409090909,12,22,9,9,0,18,15,37
4.591836735,0,3,0,8,11.5625,0,12,19,10,7,6,23,20,39
1.734693878,4.6,2.5,0,9,0.3125,2.272727273,3,11,18,21,14,53,45,57
2.755102041,3.2,1,0,7,3.125,7.954545455,11,18,14,7,6,27,23,41
1.224489796,0.6,4,0,6,11.5625,0.757575758,12,18,22,7,12,41,35,53
1.224489796,1.8,3.75,0,7,10.3125,5.681818182,16,23,12,14,16,42,36,59
3.775510204,1.2,3,0,8,9.6875,2.651515152,12,20,16,2,6,24,21,41
3.775510204,2,3,0,9,1.25,1.893939394,3,12,4,26,15,45,39,50
1.020408163,1.6,3.75,0,6,0,4.924242424,5,11,20,14,10,44,38,49
0.408163265,1.6,2.75,0,5,6.25,11.36363636,18,22,7,9,7,23,20,42
