A1(49),T1(40),A3 1(10),A3 2(10),T2(33),A2(25),A4(Bonus) (10),A1(5%),A2(5%),A3(5%),A4(3%),T1(12.5%),T2(12.5%),Q1(27),Q2(27),Q3(16),Final(70),Scaled Final(60%),Total Score(100%)
5,9,5,2,15,17,,0.510204082,3.4,1.75,0,2.8125,5.681818182,20,6,6,32,27,42
38,36,10,9,24,5,,3.87755102,1,4.75,0,11.25,9.090909091,19,3,16,38,33,63
48,40,9,0,8,15,,4.897959184,3,2.25,0,12.5,3.03030303,18,23,15,56,48,74
25,25,0,7,17,15,,2.551020408,3,1.75,0,7.8125,6.439393939,18,20,6,44,38,59
17,17,6,4,1,20,,1.734693878,4,2.5,0,5.3125,0.378787879,19,27,2,48,41,55
16,6,7,2,3,16,,1.632653061,3.2,2.25,0,1.875,1.136363636,21,12,3,36,31,41
23,31,1,3,4,12,,2.346938776,2.4,1,0,9.6875,1.515151515,11,0,6,17,15,32
31,28,7,8,6,13,,3.163265306,2.6,3.75,0,8.75,2.272727273,16,14,7,37,32,52
10,22,2,9,4,1,,1.020408163,0.2,2.75,0,6.875,1.515151515,18,8,2,28,24,36
14,4,7,9,3,19,,1.428571429,3.8,4,0,1.25,1.136363636,27,4,7,38,33,44
11,34,0,4,7,8,,1.12244898,1.6,1,0,10.625,2.651515152,1,22,9,32,27,44
6,12,3,4,32,23,,0.612244898,4.6,1.75,0,3.75,12.12121212,0,25,14,39,33,56
35,37,1,2,29,3,,3.571428571,0.6,0.75,0,11.5625,10.98484848,10,24,13,47,40,68
37,1,9,2,13,3,,3.775510204,0.6,2.75,0,0.3125,4.924242424,21,2,12,35,30,42
29,2,2,2,0,10,,2.959183673,2,1,0,0.625,0,17,26,0,43,37,43
46,33,6,9,4,7,,4.693877551,1.4,3.75,0,10.3125,1.515151515,8,15,9,32,27,49
37,8,4,8,13,20,,3.775510204,4,3,0,2.5,4.924242424,12,18,5,35,30,48
17,32,2,1,32,4,,1.734693878,0.8,0.75,0,10,12.12121212,0,23,9,32,27,53
17,10,0,6,29,3,,1.734693878,0.6,1.5,0,3.125,10.98484848,19,16,9,44,38,56
44,23,7,5,18,24,,4.489795918,4.8,3,0,7.1875,6.818181818,1,18,9,28,24,50
1,1,8,1,11,11,,0.102040816,2.2,2.25,0,0.3125,4.166666667,6,25,9,40,34,43
19,3,8,1,16,17,,1.93877551,3.4,2.25,0,0.9375,6.060606061,27,15,4,46,39,54
3,28,4,3,8,24,,0.306122449,4.8,1.75,0,8.75,3.03030303,14,9,14,37,32,50
29,5,10,10,5,16,,2.959183673,3.2,5,0,1.5625,1.893939394,6,16,6,28,24,39
10,20,2,5,27,17,,1.020408163,3.4,1.75,0,6.25,10.22727273,25,23,1,49,42,65
42,30,1,7,5,13,,4.285714286,2.6,2,0,9.375,1.893939394,7,1,2,10,9,29
43,8,7,4,30,10,,4.387755102,2,2.75,0,2.5,11.36363636,15,7,10,32,27,50
11,30,10,8,10,25,,1.12244898,5,4.5,0,9.375,3.787878788,8,18,7,33,28,52
0,9,10,0,2,13,,0,2.6,2.5,0,2.8125,0.757575758,1,13,5,19,16,25
39,35,0,0,10,17,,3.979591837,3.4,0,0,10.9375,3.787878788,17,16,6,39,33,56
3,18,5,5,9,16,,0.306122449,3.2,2.5,0,5.625,3.409090909,7,7,9,23,20,35
3,33,2,1,8,4,,0.306122449,0.8,0.75,0,10.3125,3.03030303,0,18,8,26,22,37
16,40,0,5,3,1,,1.632653061,0.2,1.25,0,12.5,1.136363636,18,21,15,54,46,63
2,39,7,1,28,9,,0.204081633,1.8,2,0,12.1875,10.60606061,20,14,14,48,41,68
48,17,6,0,28,8,,4.897959184,1.6,1.5,0,5.3125,10.60606061,0,23,9,32,27,51
40,33,6,5,16,18,,4.081632653,3.6,2.75,0,10.3125,6.060606061,2,10,10,22,19,46
28,6,1,7,17,12,,2.857142857,2.4,2,0,1.875,6.439393939,22,14,0,36,31,46
22,28,7,5,6,6,,2.244897959,1.2,3,0,8.75,2.272727273,3,0,3,6,5,23
39,13,1,6,17,9,,3.979591837,1.8,1.75,0,4.0625,6.439393939,14,6,8,28,24,42
38,8,6,7,23,16,,3.87755102,3.2,3.25,0,2.5,8.712121212,6,26,16,48,41,63
16,30,4,5,25,0,,1.632653061,0,2.25,0,9.375,9.46969697,20,17,5,42,36,59
46,12,10,10,2,12,,4.693877551,2.4,5,0,3.75,0.757575758,0,7,12,19,16,33
34,29,8,10,0,17,,3.469387755,3.4,4.5,0,9.0625,0,19,17,1,37,32,52
32,14,0,1,18,14,,3.265306122,2.8,0.25,0,4.375,6.818181818,8,24,1,33,28,46
32,19,9,10,17,9,,3.265306122,1.8,4.75,0,5.9375,6.439393939,19,6,12,37,32,54
7,0,10,10,0,5,,0.714285714,1,5,0,0,0,1,20,3,24,21,27
22,29,3,1,2,22,,2.244897959,4.4,1,0,9.0625,0.757575758,11,20,16,47,40,58
29,35,0,0,25,12,,2.959183673,2.4,0,0,10.9375,9.46969697,27,15,7,49,42,68
31,0,4,5,3,10,,3.163265306,2,2.25,0,0,1.136363636,13,20,1,34,29,38
21,4,6,5,23,4,,2.142857143,0.8,2.75,0,1.25,8.712121212,13,24,8,45,39,54
40,27,9,9,5,18,,4.081632653,3.6,4.5,0,8.4375,1.893939394,7,26,16,49,42,65
45,23,6,4,5,7,,4.591836735,1.4,2.5,0,7.1875,1.893939394,8,26,4,38,33,50
39,36,1,10,2,0,,3.979591837,0,2.75,0,11.25,0.757575758,2,22,16,40,34,53
3,1,9,2,24,1,,0.306122449,0.2,2.75,0,0.3125,9.090909091,10,19,13,42,36,49
0,21,9,8,11,11,,0,2.2,4.25,0,6.5625,4.166666667,0,16,12,28,24,41
37,19,6,6,9,19,,3.775510204,3.8,3,0,5.9375,3.409090909,27,9,16,52,45,64
25,25,10,8,11,25,,2.551020408,5,4.5,0,7.8125,4.166666667,17,20,13,50,43,67
36,29,6,9,31,11,,3.673469388,2.2,3.75,0,9.0625,11.74242424,8,10,6,24,21,51
31,29,6,1,11,12,,3.163265306,2.4,1.75,0,9.0625,4.166666667,18,8,6,32,27,48
17,28,5,7,17,24,,1.734693878,4.8,3,0,8.75,6.439393939,26,27,1,54,46,71
8,28,8,8,1,25,,0.816326531,5,4,0,8.75,0.378787879,3,2,8,13,11,30
49,26,10,10,30,2,,5,0.4,5,0,8.125,11.36363636,24,0,15,39,33,63
7,23,0,8,24,6,,0.714285714,1.2,2,0,7.1875,9.090909091,15,11,5,31,27,47
45,28,5,5,6,21,,4.591836735,4.2,2.5,0,8.75,2.272727273,0,22,3,25,21,44
14,29,4,7,9,25,,1.428571429,5,2.75,0,9.0625,3.409090909,9,9,0,18,15,37
45,37,9,3,0,0,,4.591836735,0,3,0,11.5625,0,10,7,6,23,20,39
17,1,4,6,6,23,,1.734693878,4.6,2.5,0,0.3125,2.272727273,18,21,14,53,45,57
27,10,3,1,21,16,,2.755102041,3.2,1,0,3.125,7.954545455,14,7,6,27,23,41
12,37,10,6,2,3,,1.224489796,0.6,4,0,11.5625,0.757575758,22,7,12,41,35,53
12,33,7,8,15,9,,1.224489796,1.8,3.75,0,10.3125,5.681818182,12,14,16,42,36,59
37,31,3,9,7,6,,3.775510204,1.2,3,0,9.6875,2.651515152,16,2,6,24,21,41
37,4,3,9,5,10,,3.775510204,2,3,0,1.25,1.893939394,4,26,15,45,39,50
10,0,7,8,13,8,,1.020408163,1.6,3.75,0,0,4.924242424,20,14,10,44,38,49
4,20,2,9,30,8,,0.408163265,1.6,2.75,0,6.25,11.36363636,7,9,7,23,20,42
